trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2022-02-08,46012.452670000064,0.024355777223607586,0.09229010806317575,25.14,,,-0.5398754732999994,0.044887780548628506
2022-02-09,45693.72199000007,0.02136325852036558,0.09076267664172931,25.26,0.049875311720698375,,-0.5430627800999993,0.049875311720698375
2022-02-10,45531.72199000007,0.01965918536990852,0.08897547797173765,25.17,0.04613466334164601,,-0.5446827800999993,0.04613466334164601
2022-02-11,45270.00289000007,0.01953449709060692,0.08721945137157128,24.95,,0.03699085619285123,-0.5472999710999993,0.03699085619285123
2022-02-14,45270.00289000007,0.021363258520365875,0.0858270989193686,25.05,,,-0.5472999710999993,0.04114713216957615
2022-02-15,45270.00289000007,0.026392352452202894,0.08475685785536172,24.98,,,-0.5472999710999993,0.038237738985868734
2022-02-16,45270.00289000007,0.030174563591022555,0.08342684954280975,25.08,,,-0.5472999710999993,0.0423940149625935
2022-02-17,45270.00289000007,0.03458021612635082,0.08231504571903586,24.73,,,-0.5472999710999993,0.027847049044056597
2022-02-18,45270.00289000007,0.039152119700748285,0.08095386533665862,25.05,,,-0.5472999710999993,0.04114713216957615
2022-02-21,45270.00289000007,0.0417290108063176,0.08017456359102239,25.23,,,-0.5472999710999993,0.04862842892768087
2022-02-22,45270.00289000007,0.04031587697423119,0.07917705735660838,24.8,,,-0.5472999710999993,0.030756442227764007
2022-02-23,45270.00289000007,0.03902743142144654,0.07719243557772254,24.95,,,-0.5472999710999993,0.03699085619285123
2022-02-24,45270.00289000007,0.03474646716541972,0.07465710723192023,24.14,,,-0.5472999710999993,0.0033250207813799604
2022-02-25,45270.00289000007,0.031920199501246915,0.07251662510390704,24.27,,,-0.5472999710999993,0.00872817955112223
2022-02-28,45270.00289000007,0.028802992518703302,0.07089567747298414,24.3,,,-0.5472999710999993,0.009975062344139734
2022-03-01,45270.00289000007,0.028179551122194845,0.06918121363258523,24.83,,,-0.5472999710999993,0.03200332502078136
2022-03-02,45405.72379000008,0.028054862842892946,0.06720698254364094,25.05,0.04114713216957615,,-0.5459427620999993,0.04114713216957615
2022-03-03,45567.72379000008,0.029758935993350003,0.06344555278470485,25.14,,,-0.5443227620999992,0.044887780548628506
2022-03-04,45225.72379000008,0.029343308395677455,0.060266001662510366,24.95,,,-0.5477427620999993,0.03699085619285123
2022-03-07,44001.72379000008,0.02535328345802174,0.05667082294264333,24.27,,,-0.5599827620999992,0.00872817955112223
2022-03-08,41962.56319000008,0.019118869492934516,0.05131961762261022,23.3,,-0.03158769742310882,-0.5803743680999992,-0.03158769742310882
2022-03-09,41962.56319000008,0.006442227763923572,0.04519950124688274,21.9,,,-0.5803743680999992,-0.08977556109725687
2022-03-10,41962.56319000008,-0.0006650041562757559,0.03959891936824598,22.43,,,-0.5803743680999992,-0.0677472984206151
2022-03-11,41962.56319000008,-0.00781379883624253,0.03490232751454676,22.55,,,-0.5803743680999992,-0.06275976724854522
2022-03-14,42088.152430000075,-0.017539484621778765,0.029488778054862632,21.96,-0.08728179551122187,,-0.5791184756999993,-0.08728179551122187
2022-03-15,39599.152430000075,-0.03491271820448863,0.023077722360764646,20.65,,,-0.6040084756999993,-0.14172901080631756
2022-03-16,41366.152430000075,-0.049334995843723924,0.017238154613466103,21.58,-0.10307564422277642,,-0.5863384756999993,-0.10307564422277642
2022-03-17,41252.152430000075,-0.06438071487946784,0.011689526184538506,21.52,,,-0.5874784756999992,-0.10556940980881127
2022-03-18,41607.82977000007,-0.07722360764754782,0.007148794679966627,21.86,,-0.09143807148794678,-0.5839217022999993,-0.09143807148794678
2022-03-21,41728.65117000007,-0.0854114713216956,0.0026704073150456233,22.3,-0.07315045719035736,,-0.5827134882999992,-0.07315045719035736
2022-03-22,41728.65117000007,-0.08956774729842051,-0.0014443059019121386,22.3,,,-0.5827134882999992,-0.07315045719035736
2022-03-23,41108.46315000007,-0.08869492934330812,-0.0054655029093934404,22.11,,-0.08104738154613464,-0.5889153684999993,-0.08104738154613464
2022-03-24,41108.46315000007,-0.09064837905236883,-0.009226932668329232,21.96,,,-0.5889153684999993,-0.08728179551122187
2022-03-25,41108.46315000007,-0.09247714048212793,-0.012209060681629379,22.11,,,-0.5889153684999993,-0.08104738154613464
2022-03-28,41108.46315000007,-0.09272651704073143,-0.015024937655860476,21.9,,,-0.5889153684999993,-0.08977556109725687
2022-03-29,41227.93005000007,-0.08690773067331661,-0.016812136325852132,22.05,-0.0835411471321695,,-0.5877206994999993,-0.0835411471321695
2022-03-30,41797.948650000064,-0.08391521197007475,-0.018755195344971127,22.3,,-0.07315045719035736,-0.5820205134999994,-0.07315045719035736
2022-03-31,41797.948650000064,-0.08171238570241054,-0.020438487115544756,22.05,,,-0.5820205134999994,-0.0835411471321695
2022-04-01,41797.948650000064,-0.07988362427265144,-0.022152950955943822,22.3,,,-0.5820205134999994,-0.07315045719035736
2022-04-06,41920.82889000006,-0.07830423940149599,-0.02415835411471369,22.68,-0.05735660847880295,,-0.5807917110999994,-0.05735660847880295
2022-04-07,40894.82889000006,-0.07909393183707378,-0.02730673316708259,22.11,,,-0.5910517110999993,-0.08104738154613464
2022-04-08,40902.627750000065,-0.07842892768079773,-0.03041354945968449,22.27,,-0.07439733998337486,-0.5909737224999994,-0.07439733998337486
2022-04-11,41021.06523000007,-0.07884455527847042,-0.03385286783042419,21.86,-0.09143807148794678,,-0.5897893476999992,-0.09143807148794678
2022-04-12,42546.91371000007,-0.07664172901080638,-0.036253117206982884,22.64,,-0.05901911886949286,-0.5745308628999992,-0.05901911886949286
